100-лист. ручной входной лоток Hewlett-Packard RM1-1740-040CN/RM1-1740-030CN/RM1-1740-000CN/RM1-1740-020CN
1500-лист. кассета с податчиком Hewlett-Packard Q2444-67902/Q2444B/Q2444-67901/Q2444-69001/Q2444-69002
1500-листовая кассета Hewlett-Packard CE398-67901 (HCI)
150-лист. многоцелевой лоток Hewlett-Packard RM1-4922-000CN
2000-лист. кассета (лоток 4) Hewlett-Packard C8531-69019N/RG5-6212-320CN/C8531-69019/RG5-6212/C8531-69017/C8531-69011/C8531-69002/C8531-69003/C8531-69005/C8531-69007/RG5-6212-000CN/RG5-6212-150CN/RG5-6212-170CN/RG5-6212-180CN/RG5-6212-190CN/RG5-6212-220CN/RG5-6212-230CN/RG5-6212-260CN/RG5-6212-270CN/RG5-6212-300CN 2000
250-лист. кассета (лоток в сборе Hewlett-Packard RM1-2479-060CN/RM1-2479-000CN/RM1-2479-020CN/RM1-2479-040CN
250-лист. кассета (лоток-2) Hewlett-Packard RM1-0470-030CN/RM1-0470-000CN
250-лист. кассета (лоток-2) Hewlett-Packard RM1-4860-000CN
250-лист. кассета (лоток-2) Hewlett-Packard RM1-6394-000CN
250-лист. кассета (лоток-2) Hewlett-Packard RM1-6446-000CN
250-лист. кассета (лоток-2) Hewlett-Packard RM1-7138-000CN/RM1-7138-120000
250-лист. кассета (лоток-3) Hewlett-Packard RM1-1945-080CN/RM1-1945-000CN/RM1-1945-050CN
250-лист. кассета (лоток-3) Hewlett-Packard RM1-8063-000000/RM1-8063-000CN
250-лист. кассета (лоток-3) Hewlett-Packard RM1-8544-000000/RM1-8544-000CN
250-лист. кассета Hewlett-Packard RG5-6914-040CN/RG5-6914-000CN/RG5-6914-030CN
250-лист. кассета Hewlett-Packard RM1-2705-080000/RM1-2705-080CN
250-листовая кассета (первая) в сборе Sharp CCASP0007RS54
2-ой ролик переноса изображения в сборе Konica-Minolta A161R71411
500-лист. кассета (лоток 2) Hewlett-Packard Q3931-67918/Q3938-67955
"500-лист. кассета (лоток 3, 4, 5) Hewlett-Packard Q3931-67923/RM1-3529-000CN/Q3938-67956"
500-лист. кассета (лоток-2) Hewlett-Packard RM1-1693-190CN/RM1-1693-000CN/RM1-1693-020CN/RM1-1693-050CN/RM1-1693-080CN
500-лист. кассета (лоток-2) Hewlett-Packard RM1-4559-020CN/RM1-4559-000CN/RM1-4559-020000
500-лист. кассета (лоток-2) Hewlett-Packard RM1-6279-000CN
500-лист. кассета (лоток-2) Hewlett-Packard RM1-7379-000000/RM1-7379-000CN
500-лист. кассета (лоток-2) Hewlett-Packard RM1-8512-000CN/RM1-8512-000000
"500-лист. кассета (лоток-2, лоток-3, лоток-4, лоток-5) Hewlett-Packard RM1-5928-000CN"
500-лист. кассета (лоток-3) Hewlett-Packard RM1-0705-000CN
500-лист. кассета (лоток-3) Hewlett-Packard RM1-2732-030CN/RM1-2732-000CN
500-лист. кассета (лоток-3) Hewlett-Packard RM1-2900-060CN/RM1-2900-000CN/RM1-2900-020CN
500-лист. кассета (лоток-3) Hewlett-Packard RM1-3796-000CN
500-лист. кассета (лоток-3) Hewlett-Packard RM1-6198-000CN
500-лист. кассета (лоток-3) с податчиком Hewlett-Packard CE860A
500-лист. кассета Hewlett-Packard RM1-2219-000CN
500-лист. кассета Hewlett-Packard RM1-3815-080CN/RM1-3815-000CN/RM1-3815-060CN (HIC)
500-лист. кассета с податчиком Hewlett-Packard CE737-67901/CE737A
500-лист. кассета с податчиком Hewlett-Packard CF284-67901/CF284A
500-лист. кассета с податчиком в сборе Hewlett-Packard Q5985A/Q5985-67901/Q5985-67901EX
500-лист. податчик Hewlett-Packard CF084-67901/CF084A/CC468-67905
500-лист. податчик Hewlett-Packard RM1-2896-000CN
500-лист. податчик с кассетой в сборе (доп. лоток 3) Hewlett-Packard Q5963A/Q5963-67901
500-лист. укладчик Hewlett-Packard CE404-67901
500-лист. укладчик/степлер Hewlett-Packard CE405-67901/CB522-67901
500-листовая кассета (лоток 3) Hewlett-Packard R98-1004-000CN/RG5-3952-000CN
500-листовая кассета (лоток 3) с податчиком в сборе Hewlett-Packard Q7817A/Q7817-67901
500-листовая кассета (лоток-2 и лоток-3) Hewlett-Packard RG5-5635-110CN/RG5-5635-000CN/RG5-5635-040CN/RG5-5635-050CN/RG5-5635-080CN
