100-лист. ручной входной лоток Hewlett-Packard RM1-1740-040CN/RM1-1740-030CN/RM1-1740-000CN/RM1-1740-020CN
1500-лист. кассета с податчиком Hewlett-Packard Q2444-67902/Q2444B/Q2444-67901/Q2444-69001/Q2444-69002
1500-листовая кассета Hewlett-Packard CE398-67901 (HCI)
150-лист. многоцелевой лоток Hewlett-Packard RM1-4922-000CN
2000-лист. кассета (лоток 4) Hewlett-Packard C8531-69019N/RG5-6212-320CN/C8531-69019/RG5-6212/C8531-69017/C8531-69011/C8531-69002/C8531-69003/C8531-69005/C8531-69007/RG5-6212-000CN/RG5-6212-150CN/RG5-6212-170CN/RG5-6212-180CN/RG5-6212-190CN/RG5-6212-220CN/RG5-6212-230CN/RG5-6212-260CN/RG5-6212-270CN/RG5-6212-300CN 2000
250-лист. кассета (лоток в сборе Hewlett-Packard RM1-2479-060CN/RM1-2479-000CN/RM1-2479-020CN/RM1-2479-040CN
250-лист. кассета (лоток-2) Hewlett-Packard RM1-0470-030CN/RM1-0470-000CN
250-лист. кассета (лоток-2) Hewlett-Packard RM1-4860-000CN
250-лист. кассета (лоток-2) Hewlett-Packard RM1-6394-000CN
250-лист. кассета (лоток-2) Hewlett-Packard RM1-6446-000CN
250-лист. кассета (лоток-2) Hewlett-Packard RM1-7138-000CN/RM1-7138-120000
250-лист. кассета (лоток-3) Hewlett-Packard RM1-1945-080CN/RM1-1945-000CN/RM1-1945-050CN
250-лист. кассета (лоток-3) Hewlett-Packard RM1-8063-000000/RM1-8063-000CN
250-лист. кассета (лоток-3) Hewlett-Packard RM1-8544-000000/RM1-8544-000CN
250-лист. кассета Hewlett-Packard RG5-6914-040CN/RG5-6914-000CN/RG5-6914-030CN
250-лист. кассета Hewlett-Packard RM1-2705-080000/RM1-2705-080CN
250-листовая кассета (первая) в сборе Sharp CCASP0007RS54
2-ой ролик переноса изображения в сборе Konica-Minolta A161R71411
500-лист. кассета (лоток 2) Hewlett-Packard Q3931-67918/Q3938-67955
"500-лист. кассета (лоток 3, 4, 5) Hewlett-Packard Q3931-67923/RM1-3529-000CN/Q3938-67956"
500-лист. кассета (лоток-2) Hewlett-Packard RM1-1693-190CN/RM1-1693-000CN/RM1-1693-020CN/RM1-1693-050CN/RM1-1693-080CN
500-лист. кассета (лоток-2) Hewlett-Packard RM1-4559-020CN/RM1-4559-000CN/RM1-4559-020000
500-лист. кассета (лоток-2) Hewlett-Packard RM1-6279-000CN
500-лист. кассета (лоток-2) Hewlett-Packard RM1-7379-000000/RM1-7379-000CN
500-лист. кассета (лоток-2) Hewlett-Packard RM1-8512-000CN/RM1-8512-000000
"500-лист. кассета (лоток-2, лоток-3, лоток-4, лоток-5) Hewlett-Packard RM1-5928-000CN"
500-лист. кассета (лоток-3) Hewlett-Packard RM1-0705-000CN
500-лист. кассета (лоток-3) Hewlett-Packard RM1-2732-030CN/RM1-2732-000CN
500-лист. кассета (лоток-3) Hewlett-Packard RM1-2900-060CN/RM1-2900-000CN/RM1-2900-020CN
500-лист. кассета (лоток-3) Hewlett-Packard RM1-3796-000CN
500-лист. кассета (лоток-3) Hewlett-Packard RM1-6198-000CN
500-лист. кассета (лоток-3) с податчиком Hewlett-Packard CE860A
500-лист. кассета Hewlett-Packard RM1-2219-000CN
500-лист. кассета Hewlett-Packard RM1-3815-080CN/RM1-3815-000CN/RM1-3815-060CN (HIC)
500-лист. кассета с податчиком Hewlett-Packard CE737-67901/CE737A
500-лист. кассета с податчиком Hewlett-Packard CF284-67901/CF284A
500-лист. кассета с податчиком в сборе Hewlett-Packard Q5985A/Q5985-67901/Q5985-67901EX
500-лист. податчик Hewlett-Packard CF084-67901/CF084A/CC468-67905
500-лист. податчик Hewlett-Packard RM1-2896-000CN
500-лист. податчик с кассетой в сборе (доп. лоток 3) Hewlett-Packard Q5963A/Q5963-67901
500-лист. укладчик Hewlett-Packard CE404-67901
500-лист. укладчик/степлер Hewlett-Packard CE405-67901/CB522-67901
500-листовая кассета (лоток 3) Hewlett-Packard R98-1004-000CN/RG5-3952-000CN
500-листовая кассета (лоток 3) с податчиком в сборе Hewlett-Packard Q7817A/Q7817-67901
500-листовая кассета (лоток-2 и лоток-3) Hewlett-Packard RG5-5635-110CN/RG5-5635-000CN/RG5-5635-040CN/RG5-5635-050CN/RG5-5635-080CN
500-листовая кассета (лоток-2 и лоток-3) Hewlett-Packard RM1-1088-090CN/RM1-1088-070CN/RM1-0028-060CN/RM1-0030/Q2441-69002/Q2441-69001/RM1-0028-000CN/RM1-0028-170CN/RM1-0030-000CN/RM1-1088-000CN/RM1-1088-050CN
ADF (основание) Hewlett-Packard PF2309K102NI
ADF базовая (нижняя) часть Hewlett-Packard CE841-60113 / CE841-60129
ADF в сборе (не включает лоток) Hewlett-Packard RG5-6549-110CN/C9148-69001/C9148-69004/RG5-6549-000CN/RG5-6549-090CN
ADF в сборе Canon FM4-6906-000000
ADF в сборе Canon FM4-6944-000000
ADF в сборе Hewlett-Packard A8P79-65014
ADF в сборе Hewlett-Packard CB414-67928/CB414-67926/CB414-67916/CB414-67919
ADF в сборе Hewlett-Packard CB532-67903
ADF в сборе Hewlett-Packard CB534-67901
ADF в сборе Hewlett-Packard CC476-67912/CC476-67909 (Legal size 8.5 x 14-inches)
ADF в сборе Hewlett-Packard CC483-67907/CC483-67905/CC483-67903/CC483-67904
ADF в сборе Hewlett-Packard CD644-67918
ADF в сборе Hewlett-Packard CD644-67921
ADF в сборе Hewlett-Packard CE841-60106
ADF в сборе Hewlett-Packard CF066-67910/CC522-67923
ADF в сборе Hewlett-Packard CF116-67910
ADF в сборе Hewlett-Packard CF288-60029/CF288-60011 L
ADF в сборе Hewlett-Packard CF367-67920
ADF в сборе Hewlett-Packard CN598-67008
ADF в сборе Hewlett-Packard CZ271-60016
ADF в сборе Hewlett-Packard PF2282-SVPNR/PF2282K006NI
ADF в сборе Hewlett-Packard PF2284-SVPNR
ADF в сборе Hewlett-Packard PF2288-SVPNR/PF2288-SVPNI
ADF в сборе Hewlett-Packard PF2309-SVPNK/PF2309-SVPNI
ADF в сборе Hewlett-Packard Q3938-67998/Q3938-67990/Q3938-67943
ADF в сборе Hewlett-Packard Q3948-60193/Q3948-60118/Q3948-60189
ADF в сборе Hewlett-Packard Q6500-67903
ADF в сборе Hewlett-Packard Q7404-60025
ADF в сборе Hewlett-Packard Q7829-67944/Q7829-67939/Q7829-67901
ADF в сборе Hewlett-Packard RG5-7379-040CN/RG5-7379-000CN
ADF в сборе Samsung JC96-03389H ADF
ADF в сборе Samsung JC97-04164A
ADF в сборе Xerox 022K67690
ADF в сборе Xerox 101N01421
ADF в сборе для базовой модели и моделей с факсом Hewlett-Packard CC434-67902
ADF в сборе со шлейфом и шарнирами Xerox 007N01547
ADF и сканер в сборе для аппаратов с дуплексом Hewlett-Packard C5F98-60110
LCD- дисплей Hewlett-Packard JC07-00020A
"LCD-панель 661-6615 27-inch, WITH BLC"
RAID-контроллер SCSI Hewlett-Packard 355525-B21
RAID-контроллер Serial ATA Hewlett-Packard 367877-001 PCI 4-Channel ATA SATA четыре порта
"SATA RAID 1, 0 контроллер с 2x3.5"" Hot Swap SATA HDD для установки в 2x5.25"" отсек, черный цвет, дисплей для отображения статуса HDD, контроля температуры, состояния вентилятора. Accordance ARAID 3500-B"
"SFP-модуль 1-port mini-GBIC LX Multi-mode Fiber Transceiver (up to 2km, support 3,3V power)"
"SFP-модуль 1-port mini-GBIC SX Multi-mode Fiber Transceiver (up to 550m, support 3,3V power)"
"SFP-модуль Gigabit SFP module, Multi-mode, MiniGBIC, LC interface, Up to 550/275m distance"
"Абсорбер (памперс, поглотитель чернил) Canon QY5-0518-000000"
Автоподатчик - DADF в сборе Xerox 002N02275
Автоподатчик DADF в сборе Xerox 022K74860
Автоподатчик DADF-AB1 (A) Canon 2840B003
Автоподатчик DADF-P2 Canon 0415B006
Автоподатчик Xerox 022N02799
Автоподатчик в сборе (ADF) Samsung JC81-00429A
